volume,negocios,USD,bov
15308341794,1621519,3.8961,95.416
17476881638,1880638,3.9676,94.389
17944248009,2063278,3.9383,91.903
15364759360,1566938,3.864,95.307
14641225846,1585718,3.8764,93.662
19950692206,2293341,3.8809,93.735
17922170816,2005814,3.7961,96.729
12729665134,1323171,3.7891,98.041
17678844475,1692964,3.7756,99.588
27912025986,1492284,3.8105,99.994
18090572257,1534614,3.8338,99.137
12472960439,1367445,3.8321,98.605
17537981884,1694988,3.8259,98.904
12855433350,1373852,3.8123,97.828
14627931648,1503629,3.8455,98.027
16241461268,1567075,3.8672,95.365
13156199118,1522222,3.8481,94.34
8667108185,1144545,3.8297,94.217
13555044687,1559968,3.7826,94.604
17052385950,1630777,3.7379,95.584
12707812790,1456392,3.7345,97.307
11369963387,1353732,3.7589,97.603
12568316075,1387543,3.7279,97.24
13988633987,1443883,3.7242,97.886
16243560693,1592183,3.7589,96.932
17530932421,1881418,3.7094,96.545
15272670688,1386249,3.72,97.659
18082097226,1165513,3.731,96.51
14808562299,1584256,3.7149,97.526
18094829130,1770530,3.775,98.015
12083711175,1323683,3.7271,96.122
16638132231,1724990,3.729,96.168
12503759390,1389033,3.7385,94.413
16164465978,1702641,3.7178,95.343
11634875934,1319849,3.7187,94.114
17226540056,1806303,3.7013,94.636
16300322232,1610956,3.6735,98.311
14050850995,1511718,3.675,98.589
14083761900,1666815,3.3688,97.861
19646276617,1986355,3.7364,97.394
18626021488,1862523,3.7364,96.996
17040314728,1708695,3.7364,95.639
24629838632,2212213,3.767,95.444
15119198596,1548479,3.7809,97.677
14477895735,1487303,3.7988,96.558
13842855841,1457231,3.7609,95.103
19449268949,1118895,3.7699,96.01
16750021919,1707021,3.748,96.097
15871307468,1714168,3.7585,95.351
20154133209,1514150,3.7191,94.393
14941216416,1541435,3.7043,94.056
13733073732,1610522,3.7255,94.474
15004236417,1675190,3.7135,93.658
14249303994,1594877,3.6863,93.802
16511944472,1873380,3.6925,93.613
14167474169,1638557,3.7202,92.032
14907136772,1549008,3.7056,91.699
16759987527,1757601,3.7621,91.841
18224893135,1932297,3.7677,91.546
17399406614,1868806,3.8589,91.012
11320102981,1297917,3.8742,87.887
9777819097,1162279,3.9324,85.46
9586361405,1159457,3.9252,85.136
