AP1,AP2,AP3,Final
10,10,9,9.8
9,10,9,9.4
9.5,10,10,9.8
9.4,9.9,9.9,9.7
9.3,9.8,9.8,9.6
9.2,9.7,9.7,9.5
9.1,9.6,9.6,9.4
9,9.5,9.5,9.3
10,7,5,7.8
9,6,4,6.8
9.5,6.5,4.5,7.3
9.4,6.4,4.4,7.2
9.3,6.3,4.3,7.1
9.2,6.2,4.2,7
9.1,6.1,4.1,6.9
9,6,4,6.8
5.2,5.2,4.2,5
5.1,5.1,4.1,4.9
5,5,4,4.8
4.9,4.9,3.9,4.7
4.8,4.8,3.8,4.6
4.7,4.7,3.7,4.5
4.6,4.6,3.6,4.4
4.5,4.5,3.5,4.3
4,4,4,4
5,5,5,5
4.5,4.5,4.5,4.5
5.5,5.5,5.5,5.5
5,9,10,7.6
5.1,9.5,10,7.84
5.2,9.5,10,7.88
5.3,9.5,10,7.92
5.4,9.5,10,7.96
5.5,9.5,10,8
4.9,9,10,7.56
4.8,9,10,7.52
4.7,9,10,7.48
4.6,9,10,7.44
4.5,9,10,7.4
4.4,9,10,7.36
